FID IID
1000052 1000052
1005727 1005727
1009625 1009625
1012659 1012659
1012853 1012853
1019210 1019210
1031410 1031410
1038042 1038042
1043394 1043394
1053568 1053568
1058250 1058250
1061222 1061222
1078482 1078482
1080374 1080374
1091317 1091317
1095443 1095443
1100469 1100469
1100563 1100563
1100671 1100671
1110070 1110070
1113088 1113088
1127453 1127453
1129939 1129939
1130466 1130466
1142105 1142105
1155093 1155093
1157932 1157932
1167142 1167142
1169397 1169397
1190915 1190915
1192513 1192513
1196509 1196509
1201253 1201253
1203960 1203960
1206267 1206267
1216450 1216450
1224355 1224355
1225374 1225374
1228821 1228821
1238808 1238808
1269802 1269802
1277755 1277755
1286002 1286002
1286215 1286215
1297778 1297778
1305495 1305495
1311727 1311727
1312224 1312224
1313101 1313101
1313460 1313460
1320430 1320430
1321331 1321331
1322805 1322805
1327789 1327789
1339953 1339953
1366353 1366353
1366672 1366672
1367886 1367886
1379254 1379254
1379582 1379582
1382071 1382071
1385428 1385428
1397200 1397200
1403388 1403388
1405731 1405731
1406936 1406936
1410904 1410904
1426915 1426915
1430356 1430356
1433517 1433517
1448670 1448670
1450655 1450655
1461776 1461776
1464731 1464731
1465955 1465955
1470467 1470467
1470615 1470615
1481805 1481805
1485887 1485887
1492709 1492709
1495465 1495465
1496609 1496609
1497753 1497753
1508803 1508803
1516726 1516726
1527624 1527624
1529717 1529717
1530486 1530486
1531645 1531645
1532955 1532955
1534583 1534583
1536064 1536064
1539617 1539617
1547216 1547216
1548104 1548104
1549301 1549301
1551193 1551193
1557784 1557784
1559253 1559253
1566778 1566778
1577611 1577611
1583758 1583758
1601703 1601703
1615204 1615204
1615458 1615458
1619396 1619396
1628891 1628891
1630702 1630702
1632527 1632527
1637474 1637474
1652004 1652004
1654077 1654077
1657450 1657450
1659722 1659722
1666798 1666798
1691833 1691833
1693615 1693615
1695819 1695819
1698323 1698323
1699637 1699637
1703553 1703553
1705047 1705047
1726260 1726260
1729945 1729945
1741689 1741689
1773021 1773021
1774306 1774306
1783352 1783352
1786276 1786276
1805838 1805838
1829697 1829697
1831609 1831609
1836816 1836816
1837392 1837392
1844486 1844486
1853241 1853241
1857898 1857898
1863381 1863381
1871362 1871362
1872706 1872706
1889414 1889414
1899852 1899852
