FID IID
1030271 1030271
1037363 1037363
1057416 1057416
1086531 1086531
1128073 1128073
1413667 1413667
1450185 1450185
1503804 1503804
1543894 1543894
1570060 1570060
1822193 1822193
1856594 1856594
1931932 1931932
2062372 2062372
2084001 2084001
2156915 2156915
2171897 2171897
2441953 2441953
2470271 2470271
2552941 2552941
2801319 2801319
2853204 2853204
2971583 2971583
3013130 3013130
3089729 3089729
3326546 3326546
3561117 3561117
3963822 3963822
4073062 4073062
4287564 4287564
4510295 4510295
4899010 4899010
5036987 5036987
5153486 5153486
5406966 5406966
5553318 5553318
1437665 1437665
1798988 1798988
2050515 2050515
2160205 2160205
4055621 4055621
1008326 1008326
1008332 1008332
1010131 1010131
1010365 1010365
1013341 1013341
1015436 1015436
1015665 1015665
1016499 1016499
1018111 1018111
1021850 1021850
1022799 1022799
1024789 1024789
1025188 1025188
1027561 1027561
1032470 1032470
1032675 1032675
1038809 1038809
1040869 1040869
1042653 1042653
1042749 1042749
1044172 1044172
1068387 1068387
1069518 1069518
1081552 1081552
1081804 1081804
1084429 1084429
1084495 1084495
1084876 1084876
1084887 1084887
1087546 1087546
1088153 1088153
1088234 1088234
1089005 1089005
1091952 1091952
1092198 1092198
1101375 1101375
1101702 1101702
1102772 1102772
1103397 1103397
1105164 1105164
1108962 1108962
1111270 1111270
1111397 1111397
1114026 1114026
1114252 1114252
1115330 1115330
1119591 1119591
1122643 1122643
1123494 1123494
1124303 1124303
1125425 1125425
1125743 1125743
1129329 1129329
1133691 1133691
1133822 1133822
1136422 1136422
1141616 1141616
1141815 1141815
1145323 1145323
1151266 1151266
1153882 1153882
1155845 1155845
1158302 1158302
1159469 1159469
1161837 1161837
1170420 1170420
1173648 1173648
1174737 1174737
1175747 1175747
1176851 1176851
1186172 1186172
1186563 1186563
1192857 1192857
1199327 1199327
1200771 1200771
1201892 1201892
1207043 1207043
1208482 1208482
1210204 1210204
1212596 1212596
1212869 1212869
1214537 1214537
1221118 1221118
1225049 1225049
1225954 1225954
1226265 1226265
1227817 1227817
1233341 1233341
1234023 1234023
1235119 1235119
1236202 1236202
1237304 1237304
1240243 1240243
1243480 1243480
1244923 1244923
1247898 1247898
1248044 1248044
1253896 1253896
1255168 1255168
1255635 1255635
1257172 1257172
1258828 1258828
1259606 1259606
1260206 1260206
1265000 1265000
1265364 1265364
1266009 1266009
1269841 1269841
1270010 1270010
1270732 1270732
1278008 1278008
1279261 1279261
1286578 1286578
1291080 1291080
1291897 1291897
1296146 1296146
1297675 1297675
1303336 1303336
1304953 1304953
1305093 1305093
1307694 1307694
1318377 1318377
1330130 1330130
1333412 1333412
1335478 1335478
1338397 1338397
1338777 1338777
1342437 1342437
1348226 1348226
1364797 1364797
1365143 1365143
1374901 1374901
1376050 1376050
1380408 1380408
1380680 1380680
1381758 1381758
1381921 1381921
1392286 1392286
1396608 1396608
1398197 1398197
1398857 1398857
1403811 1403811
1404641 1404641
1409915 1409915
1415873 1415873
1417299 1417299
1418782 1418782
1419254 1419254
1422842 1422842
1424725 1424725
1428150 1428150
1429768 1429768
1437369 1437369
1437583 1437583
1439840 1439840
1440929 1440929
1441533 1441533
1443950 1443950
1447667 1447667
1452850 1452850
1457306 1457306
1461224 1461224
1461595 1461595
1465138 1465138
1467162 1467162
1468907 1468907
1469897 1469897
1476459 1476459
