FID IID
1003350 1003350
1005259 1005259
1016806 1016806
1018567 1018567
1022486 1022486
1024846 1024846
1026457 1026457
1027694 1027694
1032852 1032852
1042317 1042317
1046630 1046630
1047069 1047069
1052729 1052729
1058277 1058277
1058884 1058884
1060457 1060457
1070041 1070041
1070387 1070387
1072726 1072726
1089556 1089556
1091792 1091792
1091857 1091857
1094939 1094939
1103474 1103474
1105595 1105595
1112406 1112406
1113243 1113243
1114439 1114439
1114477 1114477
1134987 1134987
1137058 1137058
1142769 1142769
1143784 1143784
1145090 1145090
1145498 1145498
1149144 1149144
1155453 1155453
1162364 1162364
1170462 1170462
1182509 1182509
1185727 1185727
1186526 1186526
1190504 1190504
1194620 1194620
1206982 1206982
1208385 1208385
1214105 1214105
1221329 1221329
1222548 1222548
1234079 1234079
1234820 1234820
1237826 1237826
1249749 1249749
1277860 1277860
1285265 1285265
1287655 1287655
1291258 1291258
1293951 1293951
1296324 1296324
1297711 1297711
1308624 1308624
1320899 1320899
1321439 1321439
1342453 1342453
1352370 1352370
1354252 1354252
1359273 1359273
1366964 1366964
1367144 1367144
1372446 1372446
1376991 1376991
1377632 1377632
1385581 1385581
1393395 1393395
1396059 1396059
1408132 1408132
1420208 1420208
1428844 1428844
1430731 1430731
1435553 1435553
1435844 1435844
1437037 1437037
1438210 1438210
1438530 1438530
1439815 1439815
1444057 1444057
1458015 1458015
1463210 1463210
1465319 1465319
1469628 1469628
1475660 1475660
1475971 1475971
1480138 1480138
1481126 1481126
1494121 1494121
1495874 1495874
1501831 1501831
1524205 1524205
1526583 1526583
1546440 1546440
1546494 1546494
1554318 1554318
1565038 1565038
1567259 1567259
1572253 1572253
1573761 1573761
1605409 1605409
1606651 1606651
1606821 1606821
1611622 1611622
1611933 1611933
1623677 1623677
1624899 1624899
1625141 1625141
1626724 1626724
1636537 1636537
1646109 1646109
1647607 1647607
1647803 1647803
1647891 1647891
1649977 1649977
1655997 1655997
1659321 1659321
1672869 1672869
1680016 1680016
1691639 1691639
1693888 1693888
1698920 1698920
1705873 1705873
1707778 1707778
1708662 1708662
1719226 1719226
1721332 1721332
1738173 1738173
1739812 1739812
1744641 1744641
1752374 1752374
1760557 1760557
1765684 1765684
1792162 1792162
1795001 1795001
1802225 1802225
1815000 1815000
1830939 1830939
1831170 1831170
1832759 1832759
1842003 1842003
1843117 1843117
1853187 1853187
1853413 1853413
1856758 1856758
1859987 1859987
1880565 1880565
1883440 1883440
1883863 1883863
1895374 1895374
1897848 1897848
1910359 1910359
1911118 1911118
1916612 1916612
1918294 1918294
1920616 1920616
1922339 1922339
1928140 1928140
1937393 1937393
1938819 1938819
1956509 1956509
1959447 1959447
1962307 1962307
1975625 1975625
1978170 1978170
1984147 1984147
1985170 1985170
1985985 1985985
2006753 2006753
2008041 2008041
2009402 2009402
2010331 2010331
2020805 2020805
2025462 2025462
2031125 2031125
2031292 2031292
2045119 2045119
2059769 2059769
2060089 2060089
2062866 2062866
2067874 2067874
2077841 2077841
2088813 2088813
2090204 2090204
2091027 2091027
2094261 2094261
2095763 2095763
2110517 2110517
2112198 2112198
2119583 2119583
2135871 2135871
2163926 2163926
2173217 2173217
2181801 2181801
2194702 2194702
2194862 2194862
2214681 2214681
2220468 2220468
2221121 2221121
2223893 2223893
2227905 2227905
2232917 2232917
2237596 2237596
2264725 2264725
2269612 2269612
2271594 2271594
2274695 2274695
2275403 2275403
2282148 2282148
2282264 2282264
2291774 2291774
2295542 2295542
2329559 2329559
2334917 2334917
2352304 2352304
2364691 2364691
2364953 2364953
2367830 2367830
2372665 2372665
2379371 2379371
2396792 2396792
2404997 2404997
2442804 2442804
2452020 2452020
2456288 2456288
2457252 2457252
2460916 2460916
2471935 2471935
2491795 2491795
2492244 2492244
2492645 2492645
2508916 2508916
2518488 2518488
2524288 2524288
2526096 2526096
2527906 2527906
2537263 2537263
2565032 2565032
2569107 2569107
2574380 2574380
2575307 2575307
2578694 2578694
2583217 2583217
2585981 2585981
2599416 2599416
2601416 2601416
2602696 2602696
2606806 2606806
2617683 2617683
2624625 2624625
2629786 2629786
2631456 2631456
2649121 2649121
2653276 2653276
2657763 2657763
2659543 2659543
2659929 2659929
2664303 2664303
2674299 2674299
2681122 2681122
2692947 2692947
2710598 2710598
2719573 2719573
2731671 2731671
2770084 2770084
2772384 2772384
2776339 2776339
2785272 2785272
2790694 2790694
2792625 2792625
2793358 2793358
2795565 2795565
2795660 2795660
2800136 2800136
2801768 2801768
2814799 2814799
2818431 2818431
2825873 2825873
2828802 2828802
2842613 2842613
2843227 2843227
2844118 2844118
2847708 2847708
2847870 2847870
2848274 2848274
2878178 2878178
2883350 2883350
2894659 2894659
2896762 2896762
2901140 2901140
2906788 2906788
2907869 2907869
2912879 2912879
2916334 2916334
2921993 2921993
2932236 2932236
2941531 2941531
2951834 2951834
2969177 2969177
2971041 2971041
2981049 2981049
2984930 2984930
2990163 2990163
2990257 2990257
2994742 2994742
2995140 2995140
2996571 2996571
3001457 3001457
3015602 3015602
3015882 3015882
3020865 3020865
3023643 3023643
3042497 3042497
3048794 3048794
3059225 3059225
3071212 3071212
3071325 3071325
3077057 3077057
3077332 3077332
3084609 3084609
3087574 3087574
3092634 3092634
3101739 3101739
3113223 3113223
3114863 3114863
3125342 3125342
3140909 3140909
3148019 3148019
3152396 3152396
3161812 3161812
3164351 3164351
3165722 3165722
3166318 3166318
3174270 3174270
3184671 3184671
3189462 3189462
3195187 3195187
3195524 3195524
3212032 3212032
3212357 3212357
3214182 3214182
3222049 3222049
3226555 3226555
3228111 3228111
3228481 3228481
3256384 3256384
3259928 3259928
3274954 3274954
3276692 3276692
3283776 3283776
3295841 3295841
3296989 3296989
3300944 3300944
3326597 3326597
3338563 3338563
3342170 3342170
3368832 3368832
3378345 3378345
3382325 3382325
3385303 3385303
3386397 3386397
3399236 3399236
3416859 3416859
3417646 3417646
3421909 3421909
3433161 3433161
3472995 3472995
3477279 3477279
3497176 3497176
3499117 3499117
3515634 3515634
3520210 3520210
3522138 3522138
3531302 3531302
3536917 3536917
3542466 3542466
3550307 3550307
3556541 3556541
3580045 3580045
3608006 3608006
3624746 3624746
3630814 3630814
3636941 3636941
3642268 3642268
3663940 3663940
3680122 3680122
3685488 3685488
3713396 3713396
3720436 3720436
3727840 3727840
3731292 3731292
3740652 3740652
3746712 3746712
3749848 3749848
3754145 3754145
3758924 3758924
3769330 3769330
3788964 3788964
3792711 3792711
3794121 3794121
3802872 3802872
3808689 3808689
3820353 3820353
3828698 3828698
